epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.85104,1.64078,4.96321,1.75275,0.00383,0.8,0.05696,0.0162,1.96658,5.89656,2.23355,7.14e-06,7.14e-06,7.14e-06
2,17.9982,1.84557,5.1382,1.70924,0.002,0.4,0.05154,0.0151,1.93019,5.94879,2.1891,2.11373e-05,2.11373e-05,2.11373e-05
3,25.8279,1.37161,5.17828,1.66127,0.00298,0.6,0.047,0.01664,1.91499,6.00333,2.09379,3.47575e-05,3.47575e-05,3.47575e-05
4,34.0341,1.58548,5.235,1.50855,0.00294,0.6,0.04041,0.01067,1.85418,5.98324,2.03961,4.80008e-05,4.80008e-05,4.80008e-05
5,42.0312,1.38468,4.49226,1.45888,0.00299,0.6,0.02979,0.0074,1.82349,6.00112,2.00088,6.08671e-05,6.08671e-05,6.08671e-05
6,50.0176,1.38401,4.84835,1.487,0.003,0.6,0.01974,0.00432,1.89406,6.02728,2.05024,7.33564e-05,7.33564e-05,7.33564e-05
7,59.7384,1.54208,5.0554,1.58224,0.00402,0.8,0.01289,0.00354,1.88418,5.92059,2.02163,8.54687e-05,8.54687e-05,8.54687e-05
8,67.9701,1.35246,5.05964,1.4076,0.00404,0.8,0.01602,0.0041,1.89756,5.84536,2.01233,9.7204e-05,9.7204e-05,9.7204e-05
9,76.216,1.35392,4.87315,1.37815,0.00409,0.8,0.01933,0.00496,1.93596,5.86252,2.01378,0.000108562,0.000108562,0.000108562
10,84.1343,1.60985,4.73419,1.47294,0.0043,0.8,0.02426,0.00652,1.92942,5.84657,2.00726,0.000119544,0.000119544,0.000119544
11,92.1444,0.95813,4.53707,1.26193,0.0045,0.8,0.02468,0.00721,1.93731,5.76072,1.96953,0.000130148,0.000130148,0.000130148
12,99.7725,1.24028,4.78906,1.34814,0.00451,0.8,0.0234,0.00692,1.92616,5.77391,1.95989,0.000140375,0.000140375,0.000140375
13,107.809,1.50826,4.92464,1.43781,0.0046,0.8,0.02036,0.00787,1.92421,5.81348,1.9516,0.000150226,0.000150226,0.000150226
14,115.891,1.39671,3.83646,1.25321,0.00381,0.6,0.01573,0.00694,1.9197,5.81285,1.93838,0.000159699,0.000159699,0.000159699
15,124.762,1.07679,3.49947,1.23881,0.00393,0.6,0.01376,0.00693,1.83704,5.82778,1.92686,0.000168795,0.000168795,0.000168795
16,136.072,1.36335,4.08136,1.36645,0.00406,0.6,0.0118,0.00632,1.79662,5.85315,1.92949,0.000177515,0.000177515,0.000177515
17,146.423,1.13967,3.93936,1.32119,0.00298,0.4,0.0103,0.00604,1.83891,5.91187,1.94707,0.000185857,0.000185857,0.000185857
18,157.05,1.01768,3.52682,1.1481,0.00302,0.4,0.01418,0.00682,1.89505,5.95607,1.97502,0.000193822,0.000193822,0.000193822
19,167.23,1.18358,2.98838,1.15444,0.003,0.4,0.0236,0.00887,1.90996,5.95024,2.00645,0.000201411,0.000201411,0.000201411
20,176.347,1.08693,3.4603,1.21139,0.00303,0.4,0.03483,0.01194,1.96722,5.93398,2.04324,0.000208622,0.000208622,0.000208622
21,185.63,0.85552,3.21622,1.06512,0.00305,0.4,0.04487,0.01483,1.99505,6.02925,2.11546,0.000215457,0.000215457,0.000215457
22,194.679,1.25841,5.2118,1.1559,0.00331,0.4,0.01964,0.01222,1.98624,6.03949,2.13103,0.000221914,0.000221914,0.000221914
23,203.708,1.05966,2.38603,1.13296,0.00336,0.4,0.01765,0.01271,1.94154,5.98252,2.13654,0.000227994,0.000227994,0.000227994
24,211.854,1.12474,2.94482,1.05235,0.00165,0.2,0.02843,0.00569,1.92087,6.02135,2.07823,0.000233698,0.000233698,0.000233698
25,220.08,1.19266,3.13434,1.13843,0.0016,0.2,0.04975,0.00995,1.96096,6.01335,2.109,0.000239024,0.000239024,0.000239024
26,228.265,0.82689,2.82562,1.07451,0.00149,0.2,0.06633,0.01327,2.10043,6.1203,2.18544,0.000243974,0.000243974,0.000243974
27,237.164,1.06053,2.46095,1.28466,0.00144,0.2,0.06633,0.01327,2.18855,6.0752,2.20767,0.000248546,0.000248546,0.000248546
28,245.282,0.89793,2.30973,1.03858,0.00144,0.2,0.06633,0.01327,2.18855,6.0752,2.20767,0.000252742,0.000252742,0.000252742
29,254.098,1.25152,3.56127,1.16403,0.00112,0.2,0.06633,0.01327,2.20829,6.16376,2.23217,0.00025656,0.00025656,0.00025656
30,262.166,0.76887,2.09096,1.05852,0.00084,0.2,0.03317,0.00663,2.23751,6.25496,2.20482,0.000260002,0.000260002,0.000260002
31,270.469,0.94117,2.39515,1.07435,0.00084,0.2,0.03317,0.00663,2.23751,6.25496,2.20482,0.000263066,0.000263066,0.000263066
32,278.451,0.97723,2.22637,1.03034,0.00059,0.2,0.02488,0.00296,2.20409,6.25135,2.17276,0.000265754,0.000265754,0.000265754
33,286.554,0.92549,2.55449,1.03127,0.0005,0.2,0.0398,0.00442,2.23943,6.31003,2.21798,0.000268064,0.000268064,0.000268064
34,294.697,0.83325,2.19684,1.05616,0.0005,0.2,0.0398,0.00442,2.23943,6.31003,2.21798,0.000269998,0.000269998,0.000269998
35,302.991,0.87615,3.32247,1.08404,0.00045,0.2,0.0398,0.00444,2.29574,6.31348,2.24996,0.000271554,0.000271554,0.000271554
36,310.976,0.65736,2.6234,0.97,0.00044,0.2,0.0398,0.0046,2.29956,6.35035,2.28295,0.000272734,0.000272734,0.000272734
37,319.099,1.0159,1.98204,1.12236,0.00044,0.2,0.0398,0.0046,2.29956,6.35035,2.28295,0.000273536,0.000273536,0.000273536
38,327.483,0.72621,4.21458,1.18592,0.00044,0.2,0.00162,0.00086,2.3263,6.49766,2.34626,0.000273962,0.000273962,0.000273962
39,335.453,1.11891,3.50695,1.07945,0.00044,0.2,0.00186,0.0009,2.25527,6.3333,2.30903,0.00027401,0.00027401,0.00027401
40,343.49,0.7425,2.86807,1.09909,0.00044,0.2,0.00186,0.0009,2.25527,6.3333,2.30903,0.000273682,0.000273682,0.000273682
41,351.542,0.78896,2.13186,1.03153,0.00046,0.2,0.00255,0.00074,2.19635,6.33752,2.31351,0.000272976,0.000272976,0.000272976
42,359.891,0.89496,2.16175,1.08607,0.00049,0.2,0.00326,0.00113,2.13896,6.35042,2.311,0.000271894,0.000271894,0.000271894
43,367.643,0.87866,2.31689,1.16817,0.00049,0.2,0.00326,0.00113,2.13896,6.35042,2.311,0.000270435,0.000270435,0.000270435
44,377.168,0.84516,3.38332,1.04719,0.0005,0.2,0.00355,0.00275,2.1383,6.49368,2.29839,0.000268598,0.000268598,0.000268598
45,387.597,0.87443,2.34453,1.061,0.0005,0.2,0.00355,0.00275,2.1383,6.49368,2.29839,0.000266385,0.000266385,0.000266385
46,396.553,0.72809,1.8622,0.97825,0.00054,0.2,0.00369,0.00295,2.12602,6.36326,2.25721,0.000263794,0.000263794,0.000263794
47,404.796,0.80826,2.36536,1.07937,0.00054,0.2,0.00369,0.00295,2.12602,6.36326,2.25721,0.000260827,0.000260827,0.000260827
48,414.031,1.00635,3.71441,1.24459,0.00052,0.2,0.00553,0.00442,2.07113,6.3374,2.24385,0.000257483,0.000257483,0.000257483
49,422.498,0.97003,2.18088,1.09814,0.00052,0.2,0.00553,0.00442,2.07113,6.3374,2.24385,0.000253761,0.000253761,0.000253761
50,430.354,0.76539,2.49739,1.12117,0.0005,0.2,0.00553,0.00498,2.09318,6.53784,2.27432,0.000249663,0.000249663,0.000249663
51,439.948,0.74717,2.32399,1.02674,0.0005,0.2,0.00553,0.00498,2.09318,6.53784,2.27432,0.00024276,0.00024276,0.00024276
52,449.054,0.76418,1.82953,0.98947,0.00052,0.2,0.01171,0.00487,2.08905,6.51807,2.29791,0.000233335,0.000233335,0.000233335
53,458.58,0.60719,3.01329,0.96008,0.00052,0.2,0.01171,0.00487,2.08905,6.51807,2.29791,0.00022391,0.00022391,0.00022391
54,466.861,0.72958,1.86776,0.99132,0.00053,0.2,0.01421,0.00561,2.09239,6.36073,2.30054,0.000214486,0.000214486,0.000214486
55,474.861,0.75329,2.72497,0.93349,0.00053,0.2,0.01421,0.00561,2.09239,6.36073,2.30054,0.000205061,0.000205061,0.000205061
56,482.848,0.60971,2.66519,0.86127,0.00052,0.2,0.02488,0.00779,2.12506,6.2826,2.32151,0.000195636,0.000195636,0.000195636
57,491.204,0.70252,1.78394,0.95614,0.00052,0.2,0.02488,0.00779,2.12506,6.2826,2.32151,0.000186211,0.000186211,0.000186211
58,499.709,0.60877,2.22354,0.90166,0.00052,0.2,0.02488,0.00818,2.13649,6.32433,2.32103,0.000176786,0.000176786,0.000176786
59,508.1,0.67874,2.04218,1.00449,0.00052,0.2,0.02488,0.00818,2.13649,6.32433,2.32103,0.000167362,0.000167362,0.000167362
60,517.068,0.6503,1.69006,0.92788,0.00052,0.2,0.0398,0.01128,2.15367,6.30837,2.33077,0.000157937,0.000157937,0.000157937
61,526.366,0.69872,2.06851,0.97064,0.00052,0.2,0.0398,0.01128,2.15367,6.30837,2.33077,0.000148512,0.000148512,0.000148512
62,535.421,0.58741,1.8644,0.8847,0.00052,0.2,0.03317,0.01086,2.15943,6.26818,2.35529,0.000139087,0.000139087,0.000139087
63,543.789,0.72826,1.7216,1.00542,0.00052,0.2,0.03317,0.01086,2.15943,6.26818,2.35529,0.000129662,0.000129662,0.000129662
64,552.589,0.76504,1.87561,1.12189,0.00053,0.2,0.03317,0.01327,2.14826,6.24778,2.35821,0.000120238,0.000120238,0.000120238
65,560.757,0.86417,2.25748,1.08369,0.00053,0.2,0.03317,0.01327,2.14826,6.24778,2.35821,0.000110813,0.000110813,0.000110813
66,570.76,0.55533,2.52427,0.94964,0.00054,0.2,0.03317,0.0126,2.15292,6.20673,2.31822,0.000101388,0.000101388,0.000101388
67,579.774,0.72382,3.18012,0.99753,0.00054,0.2,0.03317,0.0126,2.15292,6.20673,2.31822,9.19632e-05,9.19632e-05,9.19632e-05
68,589.142,0.5241,2.50593,0.94528,0.00054,0.2,0.199,0.02427,2.13019,6.2124,2.28128,8.25384e-05,8.25384e-05,8.25384e-05
69,599.23,0.67699,2.80842,1.02244,0.00054,0.2,0.199,0.02427,2.13019,6.2124,2.28128,7.31136e-05,7.31136e-05,7.31136e-05
70,610.559,0.50443,2.64208,0.84564,0.00055,0.2,0.199,0.02375,2.10083,6.12942,2.26319,6.36888e-05,6.36888e-05,6.36888e-05
71,620.278,0.59298,3.27381,0.87209,0.00055,0.2,0.199,0.02375,2.10083,6.12942,2.26319,5.4264e-05,5.4264e-05,5.4264e-05
72,628.887,0.50305,2.86804,0.96612,0.00056,0.2,0.199,0.02223,2.11913,6.05551,2.12656,4.48392e-05,4.48392e-05,4.48392e-05
73,637.544,0.65795,2.90671,0.96171,0.00056,0.2,0.199,0.02223,2.11913,6.05551,2.12656,3.54144e-05,3.54144e-05,3.54144e-05
74,646.568,0.46134,2.46916,0.87069,0.00117,0.4,0.20016,0.02238,2.09945,6.07205,2.0847,2.59896e-05,2.59896e-05,2.59896e-05
75,655.207,0.5248,2.31154,0.85814,0.00117,0.4,0.20016,0.02238,2.09945,6.07205,2.0847,1.65648e-05,1.65648e-05,1.65648e-05
